MR-ID,images-src,product_name,price,sold-status
"MR10140","http://www.metroretrofurniture.com/images/desk2/aau44rosewooddeskdunbarstainlesssteelbase02_t.jpg","72"" Vintage Dunbar Sprunger Rosewood Stainless Steel Desk","7900","null"
"MR10197","http://www.metroretrofurniture.com/images/knoll2/aba91maroon3cushionsofa02_t.jpg","84"" Florence Knoll Style Armless Chrome Frame Sofa","2900","SOLD"
"MR10690","http://www.metroretrofurniture.com/images/hotel%20crillon/abj74whitelaminatevanitydeskwithbench06_t.jpg","Elias Svedberg for Nordiska Kompaniet Dressing Table Vanity & Bench from HOTEL CRILLON","1995","SOLD"
"MR10815","http://www.metroretrofurniture.com/images/nightstands/abl44nightstands01_t.jpg","(2) Art Deco Night Stand End Tables Glass Top","2900","SOLD"
"MR10830","http://www.metroretrofurniture.com/images/chaise/abl87redchaise02_t.jpg","Red Linear Chaise Lounge by Paola Lenti SOLD","660","SOLD"
"MR10518","http://www.metroretrofurniture.com/images/desk2/abf78deskrestored02_t.jpg","Conant Ball Russel Wright Desk Birch Mid Century Modern SOLD","1195","SOLD"
"MR10166","http://www.metroretrofurniture.com/images/dining/aav16marblediningtable01_t.jpg","75"" Vintage Marble and Wood Italian Dining Table","3900","null"
"MR10300","http://www.metroretrofurniture.com/images/desk2/abd90woodlaminatepanellegdesk03_t.jpg","59"" Mid Century Modern Panel Legs Desk","795","null"
"MR10501","http://www.metroretrofurniture.com/images/tablesII/abh60sidetableset03_t.jpg","Pair Of Side Tables With Magazine Rack PRICE REDUCED","259","SOLD"
"MR10257","http://www.metroretrofurniture.com/images/cabinet/abc32burledhighboy05_t.jpg","42"" Vintage Lane Olive Burl Dresser Highboy","2720","null"
"MR10146","http://www.metroretrofurniture.com/images/saarinen/aba65saarinenchairs05_t.jpg","(4) Knoll Saarinen Side Arm Chairs Wood Base Casters","2500","SOLD"
"MR10526","http://www.metroretrofurniture.com/images/hermanmiller2/abh79hmdarkgrayshellchairs04_t.jpg","Herman Miller Eames Fiberglass Side Shell Chair Elephant Hide Gray","375","SOLD"
"MR10119","http://www.metroretrofurniture.com/images/lounge/aba21yellowkartellarmchairs03_t.jpg","(2) Italian Kartell Philippe Starck Bubble Club Chairs","995","SOLD"
"MR10298","http://www.metroretrofurniture.com/images/cabinet/abd57helikoncredenza01_t.jpg","HOLD 78"" Helikon Mahogany Wood Credenza & Desk","5995","SOLD"
"MR10112","http://www.metroretrofurniture.com/images/coffeetable/aax05glasssidetable01_t.jpg","25"" Diam Mid Century Modern Glass Coffee Table HOLD","495","SOLD"
