product,MR_id,field-1-label-src,field-1-value,field-2-label-src,field-2-value,field-3-label-src,field-3-value,field-4-label-src,field-4-value,field-5-label-src,field-5-value
"Vintage Richard McCarthy for Selrite Outdoor/Indoor Cafe Table Chairs","MR10545","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Vintage Richard McCarthy for Selrite Outdoor/Indoor Cafe Table and Pair of Chairs 

Made in USA

Circa 1950s

Richard McCarthy wrought iron table base with characteristic M detailing at the base`s round center. Rectangular glass top can be replaced with a round top under request. 
Please inquire about available tops. 
Matching chairs in original fabric. 
Suitable for indoor or outdoor use.","http://www.metroretrofurniture.com/images/pictures/dims.jpg","Table: 60"" Width x 30"" Depth x 26"" Height 
Chairs: 22.5"" Width x 20"" Depth x 32.5"" Height 
Seat Height: 16"" 
Arm Height: 24""","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very Good Vintage
Age Appropriate Wear","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Click here for shipping options
  
 
Preparation, Timing and Shipment
Please Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.
If Item needs restoration additional time will be required
(Determined by item or items being refinished or reupholstered)
 
International Shipping  
When requesting international shipping rates, please allow Us 3 to 5 Days to Quote
Thank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000","","null"
"(2) Knoll Studio Gary Lee Lounge Arm Chair Aluminum Legs ~ Multiple Available","MR10326","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Knoll Studio","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Lee, Gary 
Birthplace: USA 
A graduate of the University of Michigan School of Architecture and Design, Gary Lee is at the forefront of the design community for multiple reasons from his rich portfolio of memorable spaces, his innovative product design, to his commitment to making a difference in the community at large. Gary has earned numerous accolades and awards from both clients and peers. He was awarded the prestigious Interior Designer of the Year and is a member of the highly selective Interior Design Hall of Fame. He is known for a mastery of detail within a larger vision that allows him to deliver a signature sensibility across a wide range of project types. Having opened offices on both coasts to expand his practice, he now splits his time between Chicago, New York and San Francisco.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Pair of Knoll Lee Lounge Arm Chair 
2003 
Award-winning interior designer Gary Lee`s collection of lounge seating reflects a simple, elegant aesthetic that is contemporary and modern without being trendy. 

Frame constructed of plywood, with metal arm support brackets and aluminum legs. 
Seat cushion semi-attached; cushions not reversible 
Upholstery is original Knoll green fabric 

All KnollStudio seating is GREENGUARD Indoor Air Quality Certified® for low-emitting products","http://www.metroretrofurniture.com/images/pictures/dims.jpg","31"" width x 29"" depth x 28"" height 
seat height 16""","http://www.metroretrofurniture.com/images/pictures/condit.jpg","excellent"
"86"" Brayton Mid Century Modern Sofa","MR10128","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Brayton Mid Century Modern Sofa","http://www.metroretrofurniture.com/images/pictures/dims.jpg","86"" Length x 31"" Depth x 30"" Height Seat height 17""","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Poor condition. Reupholstery offered with costumer own material for additional cost in special decor requirements. Please inquire.","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Click here for shipping options   Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to QuoteThank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000","","null"
"Mid Century Modern Italian Black & White Lounge Chair","MR10823","http://www.metroretrofurniture.com/images/pictures/descript.jpg","1940s Black & White Armless Lounge Chair 
Wood tapered legs, black vinyl upholstery with white trim 

complementary chairs and ottoman available 
click here","http://www.metroretrofurniture.com/images/pictures/dims.jpg","23"" length x 23.5"" depth x 29"" height 
15"" seat height 17.5""","http://www.metroretrofurniture.com/images/pictures/condit.jpg","very good vintage 
age appropriate wear","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Click here for shipping options   Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to QuoteThank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000","","null"
"(2) Clayton Green Ginger Jar Ceramic Table Lamp","MR10067","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Clayton & Company","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Clayton Green Ginger Jar Ceramic Table Lamp 
Ceramic construction with wood base","http://www.metroretrofurniture.com/images/pictures/dims.jpg","Lamp 
9.5"" Diameter x 34"" Height 
Shade 
19"" Diameter x 15"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very good vintage 
Age appropriate wear","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Click here for shipping options   Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to QuoteThank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000"
"27"" Poul Hundevad Furniture Makers Danish Control Desk PRICE REDUCED","MR10563","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Furniture Makers Danish Control","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Poul Hundevad 
Denmark 1855 - 1933","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Poul Hundevad Furniture Makers Danish Control Shelf Desk 
28"" Vintage One Door Shelf Base Cabinet available. Shown in images, sold separately. Please inquire.","http://www.metroretrofurniture.com/images/pictures/dims.jpg","27"" length x 24"" depth x 51"" height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very good vintage"
"57"" Adrian Pearsall for Craft Associates Coffee Table HOLD","MR10108","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Craft Associates, Inc
1212 Scott Street
Wilkes Barre, PA","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Adrian M. Pearsall
1926
Adrian M. Pearsall founded Craft Associates, which became the second largest employer in Northeastern Pennsylvania. After he and his brother sold Craft to the Lane Company, Mr. Pearsall became a partner at Comfort Designs, from which he retired in 1991. Mr. Pearsall is known for his innovative designs, including the popular beanbag chair. He recently authorized the use of his name for Craft Classics, Inspired by Adrian Pearsall, which debuted in 2006.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","1950s Adrian Pearsall for Craft Associates
Coffee Table

Solid walnut construction
Featuring curved carved legs
This ad is for (1) coffee tables

Matching Pair of Side Tables Available shown in last image
Matching Adrian Pearsall for Craft Associates Lounge Chair","http://www.metroretrofurniture.com/images/pictures/dims.jpg","57"" Length x 24"" Width x 15"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very good vintage"
"84"" Florence Knoll Style Armless Chrome Frame Sofa","MR10197","http://www.metroretrofurniture.com/images/pictures/descript.jpg","84"" Armless Chrome Frame Sofa In The Manner Of A Florence Knoll 66 Sofa","http://www.metroretrofurniture.com/images/pictures/dims.jpg","84"" Length x 30"" Depth x 30"" Depth 
Seat height 18"" 
Seat depth 20""","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very Good Vintage Condition","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Click here for shipping options   Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to QuoteThank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000","","null"
"24"" Art Deco Burl Round Side End Table","MR10473","http://www.metroretrofurniture.com/images/pictures/descript.jpg","24"" Art Deco Burl Round Side End Table 
Splayed legs","http://www.metroretrofurniture.com/images/pictures/dims.jpg","24"" diameter x 31"" height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","very good vintage 
age appropriate wear","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Click here for shipping options   Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to QuoteThank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000","","null"
"116"" Long Vintage Burl Walnut Leather Cabinet Credenza","MR10680","http://www.metroretrofurniture.com/images/pictures/descript.jpg","116"" Long Vintage Wood and Leather Credenza Cabinet","http://www.metroretrofurniture.com/images/pictures/dims.jpg","116"" width x 22"" depth x 29"" height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Wood >Excellent Refinished 
Leather top >Very good 
Age appropriate wear","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Click here for shipping options   Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to QuoteThank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000","","null"
"(2) Vintage Bar Counter Stools High Back","MR10536","http://www.metroretrofurniture.com/images/pictures/descript.jpg","(2) Vintage Bar Counter Stools High Back 

Upholstery >white vinyl 
Base >4 star chrome base with full ring foot rest 
Swivel mechanism","http://www.metroretrofurniture.com/images/pictures/dims.jpg","19"" Width x 23"" Depth x 39.5"" Height 
Seat Height 23.5""","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very good vintage 
Age appropriate wear","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Click here for shipping options   Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to QuoteThank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000","","null"
"Morbern Fawn Vinyl Textile Upholstery","MR10863","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Morbern Fawn Vinyl","","null","","null","","null","","null"
"51"" Mid Century Macassar Ebony Hall Console Table","MR10595","http://www.metroretrofurniture.com/images/pictures/descript.jpg","51"" Mid Century Macassar Ebony Wood Hall Console Table","http://www.metroretrofurniture.com/images/pictures/dims.jpg","51"" length x 17"" depth x 30.25"" height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","very good vintage, age appropriate wear","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Click here for shipping options    Get a shipping quoteTSC Moving offers blanket wrap delivery inside your home at affordable prices. Enter your zip code and our item information will be pre-filled for you.     Zip Code:
 Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to QuoteThank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000","","null"
