MR-ID,images-src,product_name,price,sold-status
"MR13363","http://www.metroretrofurniture.com/images/benches/con342acr75steelcasetandembench_02_t.jpg.JPG","Vintage Metal and Fabric Tandem Bench by Steelcase","760","null"
"MR13600","http://www.metroretrofurniture.com/images/sidetable%20II/act96juhlsidetable_04_t.jpg","25"" Square Walnut Side Table in the Style of Jens Risom","900","null"
"MR12946","http://www.metroretrofurniture.com/images/loungeII/ace69tanloungechairs07_t.jpg","Mid Century Modern Tan Lounge Chairs SOLD","995","SOLD"
"MR13357","http://www.metroretrofurniture.com/images/loungeIII/Con316acr-21_006_t.jpg","Sky-Blue Slipper Lounge Chair in the Style of Milo Baughmann SOLD","1300","SOLD"
"MR14206","http://www.metroretrofurniture.com/images/dining%202/abz52acc54pearsallchairs_08_t.jpg","19"" Set of Eight Pearsall High Back Dining Chairs for Craft Associates","9000","null"
"MR13010","http://www.metroretrofurniture.com/images/steelcase/acn42steelcase2dwrlateral_006_t.jpg","36"" Steelcase 2 Drawer Oak Finish Lateral File","295","null"
"MR13639","http://www.metroretrofurniture.com/images/art4/acu29abstractbrutalistsculpture_01_t.jpg","Brass Brutalist Abstract Sculpture","800","null"
"MR12675","http://www.metroretrofurniture.com/images/henredon/con_281_henredonscen2set25_t.jpg","Henredon Scene 2 Burled Olivewood Zebrawood Credenza","2280","null"
"MR13732","http://www.metroretrofurniture.com/images/art/acw67conantballdresser_05_t.jpg","38"" Vintage Mid Century Conant Ball Maple Chest Dresser","1200","null"
"MR12942","http://www.metroretrofurniture.com/images/hermanmillertable/acg39hmillercontable03_t.jpg","7 ft Round Herman Miller Eames Walnut Laminate Conference Dining Table","1900","null"
"MR14104","http://www.metroretrofurniture.com/images/miscellaneous3/acr07kartellmagazineholder_01_t.jpg","Kartell Magazine Rack by Giotto Stoppini","295","null"
"MR13590","http://www.metroretrofurniture.com/images/flat%20files/act77flatfilegray_04_t.jpg","Vintage Flat File on Casters","795","null"
"MR14394","http://www.metroretrofurniture.com/images/conference%202/adb40hmconferencetable10ft_05_t.jpg","10 ft Vintage Conference Table Designed by Eames for Herman Miller","1900","null"
"MR14107","http://www.metroretrofurniture.com/images/lampIII/acq32papilonafloorlamps_02_t.jpg","Vintage Papillona Floor Lamp by Tobia Scarpa for Flos","800","null"
"MR13166","http://www.metroretrofurniture.com/images/nightstands/acp52nightstands_003_t.jpg","Pair of 21"" Asian Style Wood Nightstands","1295","null"
"MR13159","http://www.metroretrofurniture.com/images/danishchair/acf80korupstolefabrikchairs_003_t.jpg","Set of Six Mid Century Modern Korup Stolefabrik Rosewood Dining Chairs","3900","null"
"MR13674","http://www.metroretrofurniture.com/images/miscellaneous2/acu60dozenteakbowls_02_t.jpg","5.5"" Set of Twelve Teak Jens Quistgaard Bowls for Dansk SOLD","1300","SOLD"
"MR13150","http://www.metroretrofurniture.com/images/consoletable2/acp39consoletable_008_t.jpg","32"" Art Deco Style Three Drawer Maple Burl Console Table (Two available)","1900","null"
"MR13707","http://www.metroretrofurniture.com/images/art/acw50maplecredenza_01_t.jpg","72"" Vintage Mid Century Modern Teak Parquetry Credenza","2900","null"
"MR12789","http://www.metroretrofurniture.com/images/sculpture/acj83bigdoggie100_t.jpg","Life-Size Fiberglass Greyhound Sculpture SOLD","1900","SOLD"
"MR13481","http://www.metroretrofurniture.com/images/chairs7/acs70pollockchairs04_t.jpg","Vintage Tawny Brown Leather Executive Arm Chair by Pollock for Knoll SOLD","750","SOLD"
"MR13067","http://www.metroretrofurniture.com/images/Pedestals/con312_stand_stand_029_t.jpg","Contemporary Brass & Glass Pedestal","210","null"
"MR14309","http://www.metroretrofurniture.com/images/cabinet3/ada75modularpalasetcubes_01_t.jpg","Vintage Palaset Modular Storage Cubes by Ristomatti Ratia","2900","null"
"MR12963","http://www.metroretrofurniture.com/images/wooden_shelves/abu26bluepaintedshelf08_t.jpg","Antique Moroccan Shelf with Floral and Vine Motifs","400","null"
"MR13034","http://www.metroretrofurniture.com/images/sofaII/con311metrocubo104_t.jpg","Double-Sided Metrocubo Sofa by Piero Lissoni for Living Divani SOLD","2940","SOLD"
"MR13264","http://www.metroretrofurniture.com/images/tablesIII/con331acq89hmactionofficedesk_IMG_009_t.jpg","Action Desk by George Nelson for Herman Miller","2000","null"
"MR14225","http://www.metroretrofurniture.com/images/artdeco2/acz32italianartdecovanity_07_t.jpg","Early Vintage 20-30s Art Deco Bed Room Set Restored (Vanity AD 1/3)","6900","null"
"MR13446","http://www.metroretrofurniture.com/images/chairs7/acs51orangehermanmillerchairs_05_t.jpg","Pair of Herman Miller Eames Aluminum Group Management Chairs","1900","null"
"MR13324","http://www.metroretrofurniture.com/images/bookcaseII/acq50_lawyerbookcase_01_t.jpg","73"" Tall Grey Lawyer Barrister Bookcase by Globe-Wernicke","1100","null"
"MR13213","http://www.metroretrofurniture.com/images/chair6/con331acp-61scissorchair_003_t.jpg","Mid Century Modern Scissor Chair by Pierre Jeanneret for Knoll","2900","null"
"MR14083","http://www.metroretrofurniture.com/images/fabricswatches2/crimsonleather_01_t.jpg","Crimson Leather Upholstery","null","null"
"MR14226","http://www.metroretrofurniture.com/images/artdeco2/acz34artdecowardrobe_03_t.jpg","Early Vintage 20-30s Art Deco Bed Room Set Restored (Wardrobe AD 2/3)","6900","null"
"MR14259","http://www.metroretrofurniture.com/images/chairs8/acx45blueswivelofficechair_01_t.jpg","Vintage Blue Adjustable Office Chair designed by Congleton for Neutral Posture","199","null"
"MR12550","http://www/#metroretrofurniture#com/images/icon/acb05greenmetalbrassreliefcon24608_t#jpg","Dupe ad","595","SOLD"
"MR13931","http://www.metroretrofurniture.com/images/loungeIIII/acy19grayloungechairandottoman_06_t.jpg","30"" Vintage Percival Lafer Earth Chair and Ottoman c.1970","3900","null"
"MR13773","http://www.metroretrofurniture.com/images/miscellaneous3/acv71brasspitcherwithlid_01_t.jpg","Vintage Brass Samovar and Serving Set","1400","null"
"MR13659","http://www.metroretrofurniture.com/images/teapot/acu44brassgenielamp_01_t.jpg","Tall Etched Brass Indian Teapot Surahi Decanter","75","null"
"MR13589","http://www.metroretrofurniture.com/images/loungeIIII/act72bentwoodblackloungechairs_04_t.jpg","Pair of Vintage Black Bentwood Lounge Chairs","1400","null"
"MR14282","http://www.metroretrofurniture.com/images/chairs9/ada66eamesshellchair_05_t.jpg","Vintage Eames Chair for Herman Miller Reimagined by Graffiti Artist GONZO247","900","null"
"MR13298","http://www.metroretrofurniture.com/images/desksIII/acq89_georgenelsonactiondesk_03_t.jpg","5 ft. Black Herman Miller Action Desk Designed by George Nelson","400","null"
"MR13828","http://www.metroretrofurniture.com/images/art/acx94heywakesidetable_01_t.jpg","26"" Heywood Wakefield M1586G Lamp Table Side Table SOLD","600","SOLD"
"MR12687","http://www.metroretrofurniture.com/images/lampII/aci39largearchedwoodlamp27_t.jpg","Large Arched Wooden Floor Lamp by Michael Gilmartin SOLD","3900","SOLD"
"MR14174","http://www.metroretrofurniture.com/images/nightstands/acz73SunNightStands_05_t.jpg","Pair of Vintage Danish-Style Teak Nightstands","1800","null"
"MR13350","http://www.metroretrofurniture.com/images/sidetable%20II/acr52burledwoodsidetable_07_t.jpg.JPG","Henredon Burled Mahogany Console Table","1900","null"
"MR13562","http://www.metroretrofurniture.com/images/pollock2/act37darkertanpollockchair_03_t.jpg","Vintage Knoll Pollock Executive Leather Armchair Five Star Base","750","null"
"MR12643","http://www.metroretrofurniture.com/images/kagan/aci25kagenchair05_t.jpg","Vladimir Kagan Nautilus Lounge Swivel Chair","3900","null"
"MR13428","http://www.metroretrofurniture.com/images/zographos2/acs45zographoslowsidetable_02_t.jpg.JPG","24"" Glass Zographos Low Side Table","1900","null"
"MR13346","http://www.metroretrofurniture.com/images/couchII/acr48stendigcouch_04_t.jpg","88"" Cream Stendig Couch by Robert Haussmann","1900","null"
"MR13922","http://www.metroretrofurniture.com/images/lampII/Con277_acy85_2PairCeramicLamps_02_t.jpg","15"" Vintage Mid Century Ceramic Table Lamps 2 PC","270","null"
"MR13418","http://www.metroretrofurniture.com/images/sidetable%20II/acr98triangularsidetable_05_t.jpg.JPG","Vintage Scandinavian Style Mid Century Modern Triangular Side Table","295","null"
"MR13227","http://www.metroretrofurniture.com/images/credenza3/acp97con331ercolcredenza_014_t.jpg","4 Ft. Long Mid Century Modern Credenza","1900","null"
"MR12789","http://www.metroretrofurniture.com/images/sculpture/acj83bigdoggie102_t.jpg","Life-Size Fiberglass Greyhound Sculpture SOLD","1900","SOLD"
"MR12715","http://www.metroretrofurniture.com/images/credenza2/aci68italaincredenza23_t.jpg","75"" Contemporary Italian Dresser Credenza SOLD","2320","SOLD"
"MR12730","http://www.metroretrofurniture.com/images/thonet/8thonetbrnocopper50_t.jpg","8 Thonet Mies van der Rohe Brno Copper Leather Chairs SOLD","7900","SOLD"
"MR13005","http://www.metroretrofurniture.com/images/dunbar/acm57dunbarcredenza2_t.jpg","Vintage Mid Century Dunbar Rosewood and White Oak Credenza ( ACM57 )","7500","null"
"MR13068","http://www.metroretrofurniture.com/images/lafer/acl32laferchair01_t.jpg","Mid Century Vintage Percival Lafer Earth Chair (acl32) SOLD","2900","SOLD"
"MR12689","http://www.metroretrofurniture.com/images/dresser/aci57CON280organicdresser42_t.jpg","Three Drawer Organic Modern Dresser - Dresser 217","1900","SOLD"
"MR13728","http://www.metroretrofurniture.com/images/lampII/acx68sputniksconce_04_t.jpg","Vintage Midcentury Seven Light Brass Sputnik Light Fixture","1400","null"
"MR12963","http://www.metroretrofurniture.com/images/wooden_shelves/abu26blueshelf04_t.jpg","Antique Moroccan Shelf with Floral and Vine Motifs","400","null"
"MR13297","http://www.metroretrofurniture.com/images/saarinen2/acr30_ovalsaarinentable%20(2)_t.jpg.JPG","78"" Knoll Oval Saarinen Table SOLD","6900","SOLD"
"MR13358","http://www.metroretrofurniture.com/images/lampII/con342acs06mushroomlamp_01_t.jpg.JPG","Vintage Mushroom Style Polished Steel Lamp SOLD","295","SOLD"
"MR14000","http://www.metroretrofurniture.com/images/cabinet2/acx47maplecabinet_01_t.jpg","6.5 ft Vintage Maple Storage Cabinet","995","null"
