product,MR_id,field-1-label-src,field-1-value,field-2-label-src,field-2-value,field-3-label-src,field-3-value,field-4-label-src,field-4-value,field-5-label-src,field-5-value
"","MR5293","","null","","null","","null","","null","","null"
"sold Knoll Barcelona Lounge Chair Meis van der Rohe","MR5124","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Made in USA by","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Mies van der Rohe","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Mid-Century Barcelona Chair","http://www.metroretrofurniture.com/images/pictures/dims.jpg","29½"" W x 30"" D x 30¼"" H","http://www.metroretrofurniture.com/images/pictures/condit.jpg","null"
"SOLD Vintage Knoll Vincent Cafiero Leather Lounge Chair","MR5889","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Knoll","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Vincent Cafiero

After joining Knoll in 1956, he led many interior design projects as Senior Designer of the Knoll Planning Unit from 1956 to 1967. During this time he coordinated Knoll work in residences, universities, executive offices and showrooms, including the Knoll showrooms in Philadelphia, Boston and Saint Louis. In addition to designing the massive CBS building project, Cafiero was a believer and outspoken proponent of the ""Knoll approach"" to business and design. From 1965 to 1969, Cafiero also designed Knoll library furniture and equipment, and in 1974, the Cafiero 5800 series desk line, among many other related products.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Brown leather lounge chair with upholstered seat","http://www.metroretrofurniture.com/images/pictures/dims.jpg","25"" Depth X 25"" Width X 39.5"" Height with a seat height of 17.5","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Few minor scuffs and the casters stick a little"
"Vintage Stangl Vase Pottery Ceramic","MR5562","","null","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Stangl","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Stangl Pottery","http://www.metroretrofurniture.com/images/pictures/dims.jpg","Width7""x Depth5.5""x Height7""","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Excellent"
"SOLD Ward Bennett Lounge Chair From the 50th Floor of 1400","MR5306","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Brickel Associates","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Ward Bennett
Quite simply, there is no area of art and design in which Ward Bennett has not been involved. His career evolved from his teen years onward, when he left home at thirteen and began traveling at sixteen. Travel, he says has continually been a prevailing influence on his work. Early on, he undertook various studies in the fine arts including drawing at the Porto Romano school in Florence and in Paris with Brancusi, painting in New York with Hans Hoffman and sharing space at the Clay Club with Louise Nevelson. His sculpture was exhibited at the Whitney Annual of 1944.

Best known for his interiors, Mr. Bennett`s projects include residence in New York, London, Venice and Rome, as well as his own quarter--a Manhattan apartment atop the Dakota, a country house in Long Island and a flat in Paris. In the commercial category, works encompass a national network of showrooms for Brickel, projects for Chase Manhattan Bank and consultant plans for the Solow Building Corporation. In 1963, he began a collaboration with Brickel Associates, designing first furniture and later textiles. He is considered a prodigious designer of objects: china, glassware and silver for Tiffany and Company; flatware for Supreme; porcelain for Sasaki; and, leather goods for Hermes. Bennett designs are well represented in the Museum of Modern Art`s permanent collection and in the Cooper-Hewitt Museum.

Brickel Associates became Geiger Brickel. The company was recently acquired by Herman Miller.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","1970`s Ward Bennett Channel-Back Lounge Chair  Upholstery> Dark Blue Leather Base> Wooden Posts These Lounge Chairs Were Taken From the Houston Enron Office
This Ad is for 1 Lounge Chair2 Lounge Chairs Available","http://www.metroretrofurniture.com/images/pictures/dims.jpg","31.5"" Width x 27.5"" Depth x 31.5"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Excellent Vintage"
"Pair of Vintage Herman Miller Eames Bikini Wire Chairs","MR5945","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Herman Miller","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Charles and Ray Eames

Charles and Ray married in 1941 and moved to California where they continued their furniture design work with molding plywood. During the war they were commissioned by the Navy to produce molded plywood splints, stretchers and experimental glider shells. In 1946, Evans Products began producing the Eameses` molded plywood furniture. Their molded plywood chair was called ""the chair of the century"" by the influential architectural critic Esther McCoy. Soon production was taken over by Herman Miller, Inc ., who continues to produce the furniture in the United States to this day. Another company, Vitra International , manufactures the furniture in Europe. The Eameses continued to create new furniture designs into the 1970s.

Examples include the molded plastic or fiberglass chairs from the early 1950s and the famous Lounge Chair and Ottoman from 1956. Sturdy, comfortable and elegant office furniture was created in the 1960s, as well as seating designed for Dulles and O`Hare Airports. This Tandem Sling Seating is still in use in airports around the world today.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Pair of Vintage Eames Bikini Chair","http://www.metroretrofurniture.com/images/pictures/dims.jpg","18 1/4"" Length X 19"" Width X 32 1/2"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very Good"
"SOLD (2) Vintage Brayton Lounge Chairs","MR5791","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Brayton","http://www.metroretrofurniture.com/images/pictures/descript.jpg","(2) Vintage Brayton Lounge Chairs","http://www.metroretrofurniture.com/images/pictures/dims.jpg","33"" Width x 30"" Depth x 25.5"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very Good Vintage","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","We recommend crate shipping via ForwardAir to the terminal nearest you for $200
QUOTED FOR U.S. ONLY"
"Russel Wright Conant Ball Modernmates Side Chair","MR5870","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Conant Ball","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Russel Wright


Russel Wright first began at the age of 30 to design 60 pieces of furniture for Heywood-Wakefield Furniture Company. These items were sold at Bloomingdale`s and were marketed with rugs, curtains, lamps and accessories all designed by Russel Wright. This was 1934 and marked the first offering of coordinated mass produced home furnishings ever created by 1 designer.
 
In 1935 Russel Wright contracted with Conant Ball Company to produce American Modern. A solid maple line of furniture, it was an instant hit. It was offered in 2 finishes, a natural unstained finish Russel and Mary dubbed blonde and a reddish stained maple. This line was the first solid maple, blonde finished furniture of modern design ever to be produced.

In 1949 a later line called Modernmates/American Modern was produced offering eight various birch finishes designed by Russel Wright.

A vice president of Macy`s said in 1938, that this line was the most successful ever carried by Macy`s, whether traditional or modern.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","MODERNMATES BY CONANT BALL SIDE CHAIR

American Modern Beautiful 
Brushed Birch Side Chair
 
In 1949 Birch Was Offered In Eight Birch Finishes In The 
Modernmates/American Modern Line
 
Original Light Natural Birch Finish 
Splayed Legs 
Curved Cane Back

Similar items available By Conant Ball and Russel Wright 
 
Information found in "" collectors Encyclopedia of Russel Wright 3rd Edition by Ann Kerr","http://www.metroretrofurniture.com/images/pictures/dims.jpg","22"" Width x 21.5"" Depth x 32"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Excellent"
"Herman Miller Table Desk - Designed by George Nelson","MR5793","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Herman Miller","http://www.metroretrofurniture.com/images/pictures/designer.jpg","George Nelson

George Nelson (1908-1986) was an important modernist whose work cut across the fields of interior, industrial and exhibition design. Nelson studied architecture at Yale University in the 1920s, and in the next two decades earned a strong reputation as a writer on design for Architectural Forum, Interiors and Fortune.

In 1945 Nelson began a long association with the Herman Miller Furniture Company of Zeeland, Michigan, where as head designer he developed an innovative line of furniture and commissioned new designs from others. His first commission was Isamu Noguchi`s biomorphic glass-topped coffee table, which began production in 1947, the first of many designs that the sculptor would create for Herman Miller in the late Forties. Nelson also was responsible for bringing the designs of Charles Eames to Herman Miller, and he collaborated with R. Buckminster Fuller on a number of projects. 

Among Nelson`s own creations are classic works of Fifties design, including the bubble lamp, ball clock, marshmallow sofa and the pole-supported wall-storage system. Nelson also designed numerous exhibitions, including the 1959 American National Exhibition in Moscow, and the Chrysler Corporation display at the 1964 New York World`s Fair.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","","http://www.metroretrofurniture.com/images/pictures/dims.jpg","Length 47.75"" 
Width 23.25"" 
Height 29""","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Good"
"(6) Scandinavian Haga Fors Dining Chairs","MR5112","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Haga Fors","http://www.metroretrofurniture.com/images/pictures/descript.jpg","(6) Scandinavian Haga Fors Dining Chairs","http://www.metroretrofurniture.com/images/pictures/dims.jpg","16"" Width x 19"" Depth x 32"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very Good Condition","http://www.metroretrofurniture.com/truck_006d_W.gif","Click here for shipping options
  
 
Preparation, Timing and Shipment
Please Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.
If Item needs restoration additional time will be required
(Determined by item or items being refinished or reupholstered)
 
International Shipping  
When requesting international shipping rates, please allow Us 3 to 5 Days to Quote
Thank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000"
"Blickman Stainless Steel Kitchen Cabinet Drawers","MR5849","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Blickman","","null","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Great for food preparation!!","http://www.metroretrofurniture.com/images/pictures/dims.jpg","28 1/2"" Length X 18 1/2"" Width X 38 3/4"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very Good!"
"","MR5018","","null","","null","","null","","null","","null"
"sold Vintage Jens Risom Arm Chairs","MR5515","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Knoll","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Jens Risom","http://www.metroretrofurniture.com/images/pictures/descript.jpg","(2) Vintage Jens Risom Arm Chairs","http://www.metroretrofurniture.com/images/pictures/dims.jpg","24"" Width x 21"" Depth x 31"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Excellent Vintage"
"7ft Stow Davis Oak round Conference Table","MR5467","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Stow Davis","http://www.metroretrofurniture.com/images/pictures/descript.jpg","7` Stow Davis Oak Conference Table","http://www.metroretrofurniture.com/images/pictures/dims.jpg","84"" Diameter x 29"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Excellent>Refinished","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","We recommend crate shipping via ForwardAir to the terminal nearest you or Blanket Wrap Shipping 
QUOTED FOR U.S. ONLY"
"soldThomasville Founders Bedroom Headboard Maple","MR5435","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Thomasville","","null","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Thomasville Founders Maple Headboard   This is a set of bedroom furniture manufactured by Thomasville Furniture.
These pieces are from the Founders series. Cream colored center piece","http://www.metroretrofurniture.com/images/pictures/dims.jpg","Length61x Depth2x Height35","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Excellent"
"Skal International Promotional Souvenir Glass Coster","MR5975","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Skal International Promotional Souvenir Tray/Coaster 

Glass Tray/Coaster 
Etched with ""Drinking Words"" from around the world 
Some of the sayings include: ""Cheerio"", ""Salute"", ""Ram! Ram!"" etc... 
Bordered with champagne glasses 

Good Condition","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","We recommend shipping via DHL
QUOTED FOR U.S. ONLY","","null","","null","","null"
"Small Oriental Ceramic Embossed Dish No Reserve","MR5533","","null","","null","","null","","null","","null"
"Mid Century Walnut Vintage Lounge Chair Rocker","MR5059","http://www.metroretrofurniture.com/images/pictures/descript.jpg","","http://www.metroretrofurniture.com/images/pictures/dims.jpg","26.5"" width x 32"" depth x 39"" height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very Good Vintage","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Click here for shipping options   Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to QuoteThank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000","","null"
"Mid Century Modern Bent Plywood Pineapple Lamp","MR5344","http://www.metroretrofurniture.com/images/pictures/descript.jpg","This lamp exhibits the popular retro pear shape.","http://www.metroretrofurniture.com/images/pictures/dims.jpg","W9.75x D4.5x H35","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Excellent","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","We recommend shipping via DHL for $35","","null"
"Adjustable Black Metal Floor Lamp Vintage Modern","MR5387","","null","","null","","null","","null","","null"
