åproduct,MR_id,field-1-label-src,field-1-value,field-2-label-src,field-2-value,field-3-label-src,field-3-value,field-4-label-src,field-4-value,field-5-label-src,field-5-value
"(1) Vintage David Rowland Thonet Sof-Tech Bar Stool call for price","MR9869","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Thonet","http://www.metroretrofurniture.com/images/pictures/designer.jpg","David Rowland ThonetAmerican, born 1924","http://www.metroretrofurniture.com/images/pictures/descript.jpg","(1) David Rowland Thonet ""Sof-Tech"" Stool","http://www.metroretrofurniture.com/images/pictures/dims.jpg","19"" Width x 17.5"" Depth x 42"" Height 
Seat height 29.5""","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Good vintage. Age appropriate wear.Signs of age on seats and chrome.Chrome peeling off on certain areas (please see pictures) SOLD AS IS"
"17"" Vintage Brass Glass Serving Cart on Casters","MR9934","http://www.metroretrofurniture.com/images/pictures/descript.jpg","17.5"" Vintage Brass Glass Serving Cart on Casters 
Brass & glass table","http://www.metroretrofurniture.com/images/pictures/dims.jpg","17.5"" Length x 13.5"" Depth x 28"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very good vintage","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Click here for shipping options   Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to QuoteThank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000","","null"
"24"" Florence Knoll End Table Calacatta Marble Top SOLD","MR9839","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Knoll International","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Florence Knoll
Trained as an architect, Florence Knoll`s own pieces for Knoll are simple, architectural designs that stand the test of time. Her lounge seating, sofas, tables, and storage adapt flawlessly to any environment, with their clean, linear design and incredibly durable, high-quality construction. These pieces are built to last a lifetime - or several lifetimes. Not flashy pieces at all, Knoll said that her own work ""filled in the gaps"" for star pieces by Bertoia and Saarinen, but today we know that they stand in a class all by themselves.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","FLORENCE KNOLL MARBLE LOW TABLE 

Circa 1954 
2510T 1958-1979 
Top: 3/4"" thick calacatta marble (white and gray) 
Base: Polished chrome-plated steel.","http://www.metroretrofurniture.com/images/pictures/dims.jpg","24"" Width 24"" Depth x 17"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Top Excellent new 
Base. Excellent restored"
"(53) Art Deco Dishes STANGL Colonial Blue Pattern 1388. Price Reduced; Original Price Was $450","MR9350","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Stangl","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Made by Stangl 1926-1940","http://www.metroretrofurniture.com/images/pictures/dims.jpg","8 dinner plates 10 1/8”
8 bread/butter plates 6 1/8”
8 fruit/dessert bowls  6”
8 soup bowls 5.25”
1 oval vegetable platter/serving bowl 9.5"" 
1 oval platter 12""","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Condition Very good with 3 or 4 minor chips.","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Click Here for Shipping Options    Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to QuoteThank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000"
"8ft Vintage Stow Davis Walnut Credenza","MR9872","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Stow Davis","http://www.metroretrofurniture.com/images/pictures/descript.jpg","8ft Vintage Stow Davis Solid Walnut Credenza 
(4) File drawers 
(1) Pull-down door in the middle with adjustable shelf 
Wood legs 
Chrome handle pulls","http://www.metroretrofurniture.com/images/pictures/dims.jpg","96"" Length x 19"" Depth x 26"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Excellent >Refinished","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Click here for shipping options   Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to QuoteThank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000"
"120"" Herman Miller Racetrack Conference Laminate Table","MR9228","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Herman Miller","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Charles and Ray Eames

Charles and Ray married in 1941 and moved to California where they continued their furniture design work with molding plywood. During the war they were commissioned by the Navy to produce molded plywood splints, stretchers and experimental glider shells. In 1946, Evans Products began producing the Eameses` molded plywood furniture. Their molded plywood chair was called ""the chair of the century"" by the influential architectural critic Esther McCoy. Soon production was taken over by Herman Miller, Inc ., who continues to produce the furniture in the United States to this day. Another company, Vitra International , manufactures the furniture in Europe. The Eameses continued to create new furniture designs into the 1970s.

Examples include the molded plastic or fiberglass chairs from the early 1950s and the famous Lounge Chair and Ottoman from 1956. Sturdy, comfortable and elegant office furniture was created in the 1960s, as well as seating designed for Dulles and O`Hare Airports. This Tandem Sling Seating is still in use in airports around the world today.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","120"" Herman Miller Racetrack Conference Laminate Table 

Eames Racetrack Dining Table 
1964 Design 

Table Top>Laminate white color & black edge
Base> Segmented Base 
Tubular steel columns 
Steel Spreaders 
Cast Aluminum Legs 

Other Herman Tables Available","http://www.metroretrofurniture.com/images/pictures/dims.jpg","120"" Length x 53.5"" Depth x 28.5"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very good vintage. Age appropriate wear"
"31"" NEW Ligne Roset Long Pot White Enameled Sandstone","MR9879","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Ligne Roset 
Since 1860 
In post-war 1950 Antoine’s grandson, Jean, quickly shifted the focus of the company- which now employed 50 people-to contract furniture. Tables, chairs and beds were produced for commercial usage and were utilized in a variety of institutions, including schools, universities, hospitals and retirement homes. Intense growth soon followed and, 10 years later, Jean Roset entered the domestic market.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Ligne Roset Long Pot White Enameled Sandstone 
Jardinière in gloss white enameled frost-resistant sandstone.","http://www.metroretrofurniture.com/images/pictures/dims.jpg","L: 31`` x W: 5.5`` x H: 7``","http://www.metroretrofurniture.com/images/pictures/condit.jpg","NEW","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Click here for shipping options   Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to QuoteThank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000"
"28"" Vintage Industrial Metal Glass Cabinet","MR9647","http://www.metroretrofurniture.com/images/pictures/descript.jpg","28"" Vintage Metal Cabinet 

Metal cabinet with smoke glass top 
(2) cabinet doors with shelves 
(2) side pull out doors with storage space 
Featuring wastebasket on left side","http://www.metroretrofurniture.com/images/pictures/dims.jpg","28.5"" width x 17.5"" depth x 30"" height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","very good vintage 
age appropriate wear","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Click here for shipping options   Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to QuoteThank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000","","null"
"(1) Herman Miller Eames Fiberglass Armchair Yellow Multiple Available ~ Choose Your Base","MR9492","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Herman Miller","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Charles and Ray Eames

Charles and Ray married in 1941 and moved to California where they continued their furniture design work with molding plywood. During the war they were commissioned by the Navy to produce molded plywood splints, stretchers and experimental glider shells. In 1946, Evans Products began producing the Eameses` molded plywood furniture. Their molded plywood chair was called ""the chair of the century"" by the influential architectural critic Esther McCoy. Soon production was taken over by Herman Miller, Inc ., who continues to produce the furniture in the United States to this day. Another company, Vitra International , manufactures the furniture in Europe. The Eameses continued to create new furniture designs into the 1970s. 
Examples include the molded plastic or fiberglass chairs from the early 1950s and the famous Lounge Chair and Ottoman from 1956. Sturdy, comfortable and elegant office furniture was created in the 1960s, as well as seating designed for Dulles and O`Hare Airports. This Tandem Sling Seating is still in use in airports around the world today.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","(1) Eames Yellow Fiberglass Armchair","http://www.metroretrofurniture.com/images/pictures/dims.jpg","24.5"" Width x 23.5"" Depth x 32"" Height 
Seat Height 16.5"" 
Arm Height 26""","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very Good Vintage. 
Age Appropriate Wear

Note: Modernica bases are new"
"(1) NEW Ligne Roset Clara Chrome Magazine Rack FREE SHIPPING & 25% DISCOUNT!!!!","MR9880","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Ligne Roset 
Since 1860 
In post-war 1950 Antoine’s grandson, Jean, quickly shifted the focus of the company- which now employed 50 people-to contract furniture. Tables, chairs and beds were produced for commercial usage and were utilized in a variety of institutions, including schools, universities, hospitals and retirement homes. Intense growth soon followed and, 10 years later, Jean Roset entered the domestic market.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Ligne Roset Clara Chrome Magazine Rack 
Brilliant-chromed steel 
This ad is for (1) item; (2) available","http://www.metroretrofurniture.com/images/pictures/dims.jpg","overall dimensions W: 15.75`` x D: 8.75`` x H: 11.75`` 
dimensions of base : 11`` 3/4 x 4``","http://www.metroretrofurniture.com/images/pictures/condit.jpg","NEW","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Free Shipping USPS(Shipping within the 48 States U.S. Mainland. Hawaii or Alaska are not included) Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) QUOTED FOR U.S. ONLYInternational Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to Quote Thank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000"
