product,MR_id,field-1-label-src,field-1-value,field-2-label-src,field-2-value,field-3-label-src,field-3-value,field-4-label-src,field-4-value,field-5-label-src,field-5-value
"2 Mid Century Outdoor Bertoia Style Arm Chairs Restored","MR7698","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Harry Bertoia Style","http://www.metroretrofurniture.com/images/pictures/descript.jpg","(2) Mid Century Modern Bertoia Style Arm Chairs

~Features~","http://www.metroretrofurniture.com/images/pictures/dims.jpg","29"" Width x 20.5"" Depth x 31"" Height 
Seat height 17.5""","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Excellent-Restored 
Newly powder coated","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Shipping Options Large Items (or multiples) BLANKET WRAP DELIVERY SERVICEPlease contact us for a licensed Blanket Wrap Shipping delivery service with in house deliveries. States that are serviced are, New York, New Jersey, Connecticut, Massachusetts, Pennsylvania, Maryland, Washington DC, Virginia, Tennessee, Arkansas, Texas, and Louisiana.Prices are listed per Item determined by weight and dimensions prices subject to change.Bookcases $325-$475Club/Lounge Chairs $125-$175Coffee Tables $125-$175Desks/Credenzas $325-$475Dining Size Chairs $65Dining Tables $375-$475Loveseats/Settees $225-$275Sofas $235-$425Multiple Items are discounted to same locationAdditional charges may occur such as Stairs, Glass or Marble items etc.The buyer is responsible for making arrangements directly with the carrier. The carrier determines shipping cost and delivery time.BLANKET WRAP PAYMENTS GO DIRECTLY TO SHIPPING COMPANYOrFORWARD AIR to the terminal nearest you $100(Crated, shipped and insured) Customer is responsible for pick up from terminalFORWARD AIR PAYMENTS GO DIRECTLY TO METRO RETRO ALTERNATE SHIPPING OPTIONS Please call or email for shipping quote Fed Ex, US Mail, Freightquote.com $175 (for best shipping price) Determined by Destination, Quantity, Dimensions, Fuel Cost and Weight of your Purchase Determines Shipping QuotePreparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) QUOTED FOR U.S. ONLYInternational Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to QuoteThank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000"
"20"" Mid Century Modern Burl Table Pedestal Refinished","MR7852","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Mid Century Modern Burl Table Pedestal

~Features~
Sturdy Burl Wood Construction","http://www.metroretrofurniture.com/images/pictures/dims.jpg","24"" Length x 24"" Depth x 20"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Excellent restored","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","$125 Shipping via Forward Air  QUOTED FOR U.S. ONLY International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to Quote Preparation, Timing and Shipment Please Allow 7 to 10 Business Days Plus Shipping Time.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered)  Thank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000","","null"
"Ward Bennett Brickel Yellow Plaid Side Chair","MR7373","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Brickel Associates","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Ward Bennett

Quite simply, there is no area of art and design in which Ward Bennett has not been involved. His career evolved from his teen years onward, when he left home at thirteen and began traveling at sixteen. Travel, he says has continually been a prevailing influence on his work. Early on, he undertook various studies in the fine arts including drawing at the Porto Romano school in Florence and in Paris with Brancusi, painting in New York with Hans Hoffman and sharing space at the Clay Club with Louise Nevelson. His sculpture was exhibited at the Whitney Annual of 1944.

Best known for his interiors, Mr. Bennett`s projects include residence in New York, London, Venice and Rome, as well as his own quarter--a Manhattan apartment atop the Dakota, a country house in Long Island and a flat in Paris. In the commercial category, works encompass a national network of showrooms for Brickel, projects for Chase Manhattan Bank and consultant plans for the Solow Building Corporation. In 1963, he began a collaboration with Brickel Associates, designing first furniture and later textiles. He is considered a prodigious designer of objects: china, glassware and silver for Tiffany and Company; flatware for Supreme; porcelain for Sasaki; and, leather goods for Hermes. Bennett designs are well represented in the Museum of Modern Art`s permanent collection and in the Cooper-Hewitt Museum.

Brickel Associates became Geiger Brickel. The company was recently acquired by Herman Miller.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Ward Bennett Brickel Yellow Plaid Side Chair","http://www.metroretrofurniture.com/images/pictures/dims.jpg","25"" Width x 24"" Depth x 32"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very Good Vintage"
"Herman Miller George Nelson Action Office Series Desk","MR7686","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Herman Miller","http://www.metroretrofurniture.com/images/pictures/designer.jpg","George Nelson

George Nelson (1908-1986) was an important modernist whose work cut across the fields of interior, industrial and exhibition design. Nelson studied architecture at Yale University in the 1920s, and in the next two decades earned a strong reputation as a writer on design for Architectural Forum, Interiors and Fortune.

In 1945 Nelson began a long association with the Herman Miller Furniture Company of Zeeland, Michigan, where as head designer he developed an innovative line of furniture and commissioned new designs from others. His first commission was Isamu Noguchi`s biomorphic glass-topped coffee table, which began production in 1947, the first of many designs that the sculptor would create for Herman Miller in the late Forties. Nelson also was responsible for bringing the designs of Charles Eames to Herman Miller, and he collaborated with R. Buckminster Fuller on a number of projects. 

Among Nelson`s own creations are classic works of Fifties design, including the bubble lamp, ball clock, marshmallow sofa and the pole-supported wall-storage system. Nelson also designed numerous exhibitions, including the 1959 American National Exhibition in Moscow, and the Chrysler Corporation display at the 1964 New York World`s Fair.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Herman Miller George Nelson Action Office Series Roll Up Tambour Desk
1964 Design 

~Features~ 
Walnut Roll Up Top 
Ebonized sides 
(2) Drawers with internal divisions 
Deep Inner File Space 
Cast Aluminum Frame 
White Laminate Writing Surface","http://www.metroretrofurniture.com/images/pictures/dims.jpg","54"" Width/ Length x 30"" Depth x 34"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very Good Vintage 
(Two slats in the roll top restored shown in last image)"
"6ft Mid Century Modern Walnut Florence Knoll Credenza","MR7943","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Knoll","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Florence Knoll

Trained as an architect, Florence Knoll`s own pieces for Knoll are simple, architectural designs that stand the test of time. Her lounge seating, sofas, tables, and storage adapt flawlessly to any environment, with their clean, linear design and incredibly durable, high-quality construction. These pieces are built to last a lifetime - or several lifetimes. Not flashy pieces at all, Knoll said that her own work ""filled in the gaps"" for star pieces by Bertoia and Saarinen, but today we know that they stand in a class all by themselves.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","6ft Mid Century Modern Florence Knoll Credenza 

1950`s Design 
Florence Knoll credenza, by Knoll 
Walnut cabinet with four locking sliding doors with original leather pulls (keys included) 
Two of the sections with one adjustable interior shelf each
(1) Pull out file drawer
(1) Pull out shelf
Chrome legs","http://www.metroretrofurniture.com/images/pictures/dims.jpg","71.25"" Width/Length x 17.75"" Depth x 27.5"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Excellent >Refinished"
"4ft Vintage Italian Mid Century Modern Angora Bench","MR7762","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Italian Mid Century Modern Bench

~Features~ 
Slim curved wood legs
Cushioned extra long angora hide top","http://www.metroretrofurniture.com/images/pictures/dims.jpg","49"" Width x 19"" Depth x 22"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very good vintage 
Age appropriate wear","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Shipping via Forward Air for $150 to the terminal nearest youCustomer is responsible for pick up from terminal  QUOTED FOR U.S. ONLY International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to Quote Preparation, Timing and Shipment Please Allow 7 to 10 Business Days Plus Shipping Time.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered)  Thank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000","","null"
"Vintage Mid Century Modern Low Stool Chrome Base","MR7731","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Vintage Low Stool 

Chrome tubular base 
Turquoise hard plastic seat","http://www.metroretrofurniture.com/images/pictures/dims.jpg","13"" Diameter x 18.5"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Good Vintage 
Age Appropriate Wear","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Shipping Terms Small ItemsRecommended shipping via DHL (130 girth) or BAX Global to your doorDestination, Quantity, Dimensions, Fuel Cost and Weight of your Purchase Determine Shipping QuoteWhen buying from ebay please do not use automatic calculated shipping Large Items (or multiples)Recommended shipping via BAX Global to your doorDestination, Quantity, Dimensions, Fuel Cost and Weight of your Purchase Determine Shipping QuoteWhen buying from ebay please do not use automatic calculated shipping Alternate Shipping Large Items (or multiples)Recommended Shipping via Blanket Wrap ShippingThe buyer is responsible for making arrangements directly with the carrier. The carrier determines shipping cost and time.OrRecommended shipping via Forward Air to the terminal nearest you (Crated, shipped and insured) Customer is responsible for pick up from terminalDestination, Quantity, Dimensions, Fuel Cost and Weight of your Purchase Determine Shipping Quote Preparation, Timing and Shipment Please Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) QUOTED FOR U.S. ONLYWhen Ordering Out Of U.S. Please Give Us 3 to 5 Days on Shipping Quote Thank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000","","null"
"Modernica Charles and Ray Eames Case Study Storage Unit","MR7617","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Modernica","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Charles and Ray Eames
Charles and Ray married in 1941 and moved to California where they continued their furniture design work with molding plywood. During the war they were commissioned by the Navy to produce molded plywood splints, stretchers and experimental glider shells. In 1946, Evans Products began producing the Eameses` molded plywood furniture. Their molded plywood chair was called ""the chair of the century"" by the influential architectural critic Esther McCoy. Soon production was taken over by Herman Miller, Inc ., who continues to produce the furniture in the United States to this day. Another company, Vitra International , manufactures the furniture in Europe. The Eameses continued to create new furniture designs into the 1970s.
Examples include the molded plastic or fiberglass chairs from the early 1950s and the famous Lounge Chair and Ottoman from 1956. Sturdy, comfortable and elegant office furniture was created in the 1960s, as well as seating designed for Dulles and O`Hare Airports. This Tandem Sling Seating is still in use in airports around the world today.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Case Study Storage Unit
Originally produced from 1950 to 1955 
Suitable for office and residential use, these units were designed as storage and display spaces. 
The design resulted from work the Eameses did for a 1949 exhibition at the Detroit Institute of Arts, and the molded plywood and wire supports echo other items designed by the Eameses. 
__________________________________________________________________","http://www.metroretrofurniture.com/images/pictures/dims.jpg","47"" Width x 16"" Depth x 58.5"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Excellent"
"","MR7695","","null","","null","","null","","null","","null"
"(2) Mid Century Suzanne Style Modular Lounge Seating","MR7342","http://www.metroretrofurniture.com/images/pictures/descript.jpg","(2) Mid Century Blue Suzanne Style Modular Seat Lounges","http://www.metroretrofurniture.com/images/pictures/dims.jpg","31"" Width x 33"" Depth x 28"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very Good Original Vintage","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","We recommend crate shipping via ForwardAir to the terminal nearest you OrBlanket Wrap ShippingWhen buying from ebay please do not use automatic calculated shippingDestination, Quantity, Dimensions and Weight of your Purchase Determine Price Quote
QUOTED FOR U.S. ONLY","","null"
